num_samples	method	max_sites	max_kb	time_taken_sec
10	plink	10	200	0.13148908299626783
10	tskit	10	200	0.18838562403107062
10	plink	10	500	0.10476740699994025
10	tskit	10	500	0.17385525899999266
10	plink	50	200	0.24887056698207743
10	tskit	50	200	0.5478919589950237
10	plink	50	500	0.1944131569999854
10	tskit	50	500	0.4484952189999376
10	plink	75	200	0.24043342899994968
10	tskit	75	200	0.628262131999918
10	plink	75	500	0.258619816013379
10	tskit	75	500	0.6193359009921551
10	plink	100	200	0.21696121500008303
10	tskit	100	200	0.8031614220000165
10	plink	100	500	0.30411001299944473
10	tskit	100	500	1.1983308110002326
100	plink	10	200	0.13949811802012846
100	tskit	10	200	0.3877770099788904
100	plink	10	500	0.137917238
100	tskit	10	500	0.6352366389999133
100	plink	50	200	0.22242106901830994
100	tskit	50	200	1.0429827169864438
100	plink	50	500	0.23194897400003356
100	tskit	50	500	1.0762806339999997
100	plink	75	200	0.272293938999951
100	tskit	75	200	2.5920800569999756
100	plink	75	500	0.2892302209999684
100	tskit	75	500	1.5123652970000308
100	plink	100	200	0.2796858419999353
100	tskit	100	200	3.078659509999966
100	plink	100	500	0.2859876890000237
100	tskit	100	500	2.050472814999978
1000	plink	10	200	0.35364823893178254
1000	tskit	10	200	2.524362351046875
1000	plink	10	500	0.25695225700007995
1000	tskit	10	500	1.3874065190000238
1000	plink	50	200	0.43180274998303503
1000	tskit	50	200	5.608133194036782
1000	plink	50	500	0.5415859479999767
1000	tskit	50	500	8.701691277000009
1000	plink	75	200	0.9938705460226629
1000	tskit	75	200	6.703329117008252
1000	plink	75	500	0.6408836969999356
1000	plink	75	500	0.9826741839999613
1000	tskit	75	500	6.422687040000028
1000	tskit	75	500	6.7556740869999885
1000	plink	100	200	1.179887725998924
1000	tskit	100	200	14.048439378000694
1000	plink	100	500	0.6746884220000311
1000	plink	100	500	1.220477881000022
1000	tskit	100	500	15.113017961000025
1000	tskit	100	500	8.591182011
10000	plink	10	200	2.169916330000035
10000	tskit	10	200	7.436456972999963
10000	plink	10	500	0.8030331520000118
10000	tskit	10	500	10.49679628299998
10000	plink	50	200	3.72544667599999
10000	tskit	50	200	32.35324918600003
10000	plink	50	500	3.346621753000022
10000	tskit	50	500	19.160202013000003
10000	plink	75	200	4.705146665999564
10000	tskit	75	200	31.484694999000567
10000	plink	75	500	3.170864626000025
10000	plink	75	500	4.328471351000019
10000	tskit	75	500	27.211070018999976
10000	tskit	75	500	32.52350048799997
10000	plink	100	200	7.749620954040438
10000	tskit	100	200	59.435494112898596
10000	plink	100	500	5.572002268999995
10000	plink	100	500	5.582280017000016
10000	tskit	100	500	34.70097994400004
10000	tskit	100	500	34.77385506600001
25000	plink	10	200	7.642231986000013
25000	tskit	10	200	25.97824668100003
25000	plink	10	500	6.710845377999988
25000	tskit	10	500	14.98703397700001
25000	plink	50	200	10.624698000000024
25000	tskit	50	200	35.835490127000014
25000	plink	50	500	6.428033886000776
25000	tskit	50	500	35.527656188001856
25000	plink	75	200	12.995045260060579
25000	tskit	75	200	72.24708290200215
25000	plink	75	500	13.55309987000004
25000	plink	75	500	9.258706152999366
25000	tskit	75	500	48.763202366997575
25000	tskit	75	500	50.92978459
25000	plink	100	200	16.061935560999927
25000	tskit	100	200	64.73091869000007
25000	plink	100	500	15.973577827000042
25000	plink	100	500	18.918803234000734
